review,bigram,n,total
51,up the,2,415
63,is as,2,73
63,is not,2,73
63,it was,2,73
63,my favourite,2,73
67,find a,2,339
67,hot hot,2,339
67,in the,2,339
67,this film,2,339
67,with the,2,339
72,in the,2,276
72,is an,2,276
72,it's not,2,276
72,not that,2,276
72,other than,2,276
72,short film,2,276
72,the film,2,276
72,well made,2,276
81,black holes,2,159
81,here is,2,159
81,stephen hawkings,2,159
81,the universe,2,159
90,2 the,2,350
90,a good,2,350
90,all over,2,350
90,and killing,2,350
90,grudge 2,2,350
90,it only,2,350
90,killing and,2,350
90,on the,2,350
90,the end,2,350
90,the entire,2,350
90,the first,2,350
90,the ring,2,350
90,the same,2,350
90,which was,2,350
96,daniel day,2,258
96,day lewis,2,258
96,does not,2,258
96,he does,2,258
96,in a,2,258
96,is the,2,258
96,the character,2,258
112,do with,2,199
112,had nothing,2,199
112,i can,2,199
112,nothing to,2,199
112,the story,2,199
112,to do,2,199
116,i have,2,135
116,is the,2,135
116,of the,2,135
116,this is,2,135
129,but it,2,208
129,if you,2,208
129,in the,2,208
129,in this,2,208
129,is still,2,208
129,put together,2,208
129,that i,2,208
129,this is,2,208
129,to be,2,208
129,together movie,2,208
129,you will,2,208
176,dungeon of,2,284
176,ever seen,2,284
176,i guess,2,284
176,of my,2,284
176,out of,2,284
176,so bad,2,284
176,such as,2,284
176,the dungeon,2,284
176,the manipulator,2,284
176,the worst,2,284
176,this movie,2,284
176,to be,2,284
176,worst movie,2,284
182,as a,2,125
182,this movie,2,125
186,but this,2,278
186,is this,2,278
186,it's a,2,278
186,it's like,2,278
186,of jack,2,278
186,of the,2,278
186,some of,2,278
186,this is,2,278
199,a lot,2,495
199,big horn,2,495
199,de havilland,2,495
199,for the,2,495
199,havilland in,2,495
199,i know,2,495
199,in which,2,495
199,into the,2,495
199,lot of,2,495
199,might have,2,495
199,olivia de,2,495
199,over the,2,495
199,that in,2,495
199,that one,2,495
199,the history,2,495
199,the little,2,495
199,the story,2,495
199,up in,2,495
199,was a,2,495
199,with the,2,495
206,goldsworthy's work,2,98
206,his work,2,98
206,rivers and,2,98
206,the film,2,98
206,was a,2,98
219,and you,2,428
219,from his,2,428
219,his life,2,428
219,in a,2,428
219,life of,2,428
219,make a,2,428
219,nicole kidman,2,428
219,the end,2,428
219,the machine,2,428
219,the plot,2,428
219,to quit,2,428
220,cheese that,2,159
220,cocoon of,2,159
220,movie in,2,159
220,of cheese,2,159
220,that bad,2,159
220,that surrounds,2,159
220,watching this,2,159
220,would have,2,159
220,you can,2,159
227,cars and,2,297
227,one of,2,297
227,orange after,2,297
227,style of,2,297
227,the dog,2,297
227,the orange,2,297
227,this film,2,297
227,with the,2,297
233,best friend,2,137
233,the theater,2,137
233,your best,2,137
251,the late,2,129
263,a thing,2,263
263,demon wind,2,263
263,horror movies,2,263
263,it was,2,263
263,seems to,2,263
263,them to,2,263
263,thing a,2,263
263,this thing,2,263
283,but i,2,163
283,i can,2,163
283,this film,2,163
286,but i,2,130
286,i had,2,130
286,is why,2,130
286,it don't,2,130
286,on this,2,130
286,road trip,2,130
286,why i,2,130
315,and her,2,404
315,at least,2,404
315,being a,2,404
315,by heart,2,404
315,could have,2,404
315,have been,2,404
315,is a,2,404
315,it could,2,404
315,little too,2,404
315,might say,2,404
315,of a,2,404
315,of the,2,404
315,sara's father,2,404
315,such a,2,404
315,that is,2,404
315,the basic,2,404
315,too much,2,404
321,a peasant,2,932
321,a rural,2,932
321,all the,2,932
321,between the,2,932
321,drugs and,2,932
321,escape from,2,932
321,had to,2,932
321,he has,2,932
321,he's the,2,932
321,his change,2,932
321,his father,2,932
321,his mother,2,932
321,identity as,2,932
321,in a,2,932
321,influence is,2,932
321,is so,2,932
321,lennon's influence,2,932
321,life is,2,932
321,like a,2,932
321,more real,2,932
321,no requisite,2,932
321,not the,2,932
321,of this,2,932
321,on the,2,932
321,real and,2,932
321,says of,2,932
321,sometimes with,2,932
321,the long,2,932
321,you are,2,932
323,about the,2,717
323,alien predator,2,717
323,and the,2,717
323,are not,2,717
323,at the,2,717
323,film was,2,717
323,for the,2,717
323,have no,2,717
323,i would,2,717
323,introduced with,2,717
323,of over,2,717
323,over 6,2,717
323,really have,2,717
323,the alien,2,717
323,this film,2,717
323,was a,2,717
323,with a,2,717
323,you have,2,717
338,grey owl,2,169
338,it was,2,169
338,on the,2,169
338,took on,2,169
362,beyond the,2,196
362,of this,2,196
362,special effects,2,196
364,a motion,2,802
364,a recreation,2,802
364,as if,2,802
364,brought a,2,802
364,buster keaton,2,802
364,he is,2,802
364,if to,2,802
364,in a,2,802
364,is mack,2,802
364,linnett connors,2,802
364,mack sennett's,2,802
364,michael linnett,2,802
364,motion picture,2,802
364,of course,2,802
364,of his,2,802
364,on comedy,2,802
364,recreation of,2,802
364,sennett was,2,802
364,silent film,2,802
364,such as,2,802
364,that he,2,802
364,the camera,2,802
364,the film,2,802
364,the movie,2,802
364,the silent,2,802
364,this film,2,802
364,to hollywood,2,802
364,to the,2,802
364,with his,2,802
364,worked with,2,802
367,at that,2,346
367,in other,2,346
367,is not,2,346
367,related to,2,346
381,and she,2,207
381,if you,2,207
381,old age,2,207
381,the film,2,207
393,a great,2,138
393,australia and,2,138
393,can see,2,138
393,check out,2,138
393,his stories,2,138
393,in italy,2,138
393,my uncle,2,138
393,rodolfo sonego,2,138
393,the main,2,138
393,was the,2,138
393,you can,2,138
407,is the,2,172
407,now that,2,172
407,the d,2,172
407,want to,2,172
416,the movie,2,50
429,in the,2,151
429,movie was,2,151
429,the movie,2,151
429,this movie,2,151
460,even though,2,123
460,if you,2,123
460,snipes in,2,123
460,this movie,2,123
460,wesley snipes,2,123
460,you wanna,2,123
461,she is,2,70
469,had a,2,66
492,that we,2,62
496,for your,2,204
496,if you,2,204
496,in a,2,204
496,loved ones,2,204
496,your loved,2,204
507,played by,2,81
509,10 character,2,125
509,character development,2,125
509,csi miami,2,125
509,for me,2,125
509,get into,2,125
509,into the,2,125
509,the episode,2,125
509,this show,2,125
520,actors were,2,396
520,both of,2,396
520,in the,2,396
520,new jack,2,396
520,of these,2,396
520,scene where,2,396
520,similar to,2,396
520,urban menace,2,396
520,when mj,2,396
547,at all,2,169
547,or the,2,169
547,the movie,2,169
552,a movie,2,125
552,god father,2,125
552,i was,2,125
552,in the,2,125
552,kamala hassan,2,125
552,of god,2,125
552,to be,2,125
581,go see,2,122
581,the movie,2,122
581,this movie,2,122
586,as a,2,121
586,for a,2,121
586,hit man,2,121
588,a traveling,2,735
588,ali goes,2,735
588,american pie,2,735
588,an old,2,735
588,be a,2,735
588,because he,2,735
588,big erection,2,735
588,big ice,2,735
588,bike ali,2,735
588,by the,2,735
588,companies but,2,735
588,companies for,2,735
588,crude humor,2,735
588,film funny,2,735
588,for the,2,735
588,global freezing,2,735
588,goes to,2,735
588,he is,2,735
588,he says,2,735
588,is not,2,735
588,like a,2,735
588,of ali,2,735
588,one of,2,735
588,returns home,2,735
588,takes him,2,735
588,the director,2,735
588,the people,2,735
588,the plot,2,735
588,the story,2,735
588,the theft,2,735
588,they are,2,735
588,this film,2,735
588,to be,2,735
588,to make,2,735
588,town in,2,735
588,wakes up,2,735
588,we don't,2,735
588,with a,2,735
588,with no,2,735
594,a little,2,134
594,george reeves,2,134
594,i was,2,134
594,little kid,2,134
594,was a,2,134
594,when i,2,134
599,african americans,2,118
599,love jones,2,118
599,of the,2,118
603,as well,2,288
603,brendan moran,2,288
603,co host,2,288
603,for the,2,288
603,in the,2,288
603,kevin rose,2,288
603,this is,2,288
603,want to,2,288
603,was a,2,288
610,a time,2,147
610,has been,2,147
610,in a,2,147
610,time of,2,147
614,a comedy,2,117
614,movie is,2,117
614,to be,2,117
618,all the,2,264
618,excuse for,2,264
618,for a,2,264
618,seemed to,2,264
618,the first,2,264
618,was a,2,264
645,in the,2,131
645,of the,2,131
645,pretty much,2,131
645,the film,2,131
645,the report,2,131
645,to it,2,131
668,i have,2,143
668,need to,2,143
668,so many,2,143
671,a bit,2,204
671,aishwarya rai,2,204
671,bed scenes,2,204
671,her scenes,2,204
671,i think,2,204
671,in some,2,204
671,nude body,2,204
671,of aishwarya,2,204
671,of her,2,204
671,some of,2,204
671,the movie,2,204
671,to c,2,204
674,the audience,2,135
674,the characters,2,135
674,this film,2,135
674,to the,2,135
682,a very,2,242
682,boggy creek,2,242
682,creek creature,2,242
682,it was,2,242
682,movie in,2,242
682,that would,2,242
682,the original,2,242
682,this movie,2,242
682,to be,2,242
682,virtually no,2,242
682,would make,2,242
694,2nd film,2,866
694,a good,2,866
694,a surprise,2,866
694,big ben,2,866
694,colors are,2,866
694,described them,2,866
694,destruction of,2,866
694,effects are,2,866
694,first film,2,866
694,from the,2,866
694,g wells,2,866
694,h g,2,866
694,have no,2,866
694,his 2nd,2,866
694,his first,2,866
694,impression of,2,866
694,much as,2,866
694,of them,2,866
694,on the,2,866
694,one of,2,866
694,played by,2,866
694,some of,2,866
694,that might,2,866
694,the acting,2,866
694,the film,2,866
694,the only,2,866
694,the story,2,866
694,their machines,2,866
694,this is,2,866
694,time the,2,866
694,to the,2,866
694,version of,2,866
694,very much,2,866
694,wells described,2,866
694,wells original,2,866
694,wells wrote,2,866
694,wrote it,2,866
698,a cover,2,152
698,a movie,2,152
698,a story,2,152
698,cover story,2,152
698,if you,2,152
698,is a,2,152
698,just to,2,152
698,movie to,2,152
698,real story,2,152
698,story just,2,152
698,that it,2,152
698,to tell,2,152
705,in a,2,202
705,is a,2,202
705,of all,2,202
705,out of,2,202
732,in the,2,139
742,a good,2,354
742,at the,2,354
742,but i,2,354
742,elinor tilney,2,354
742,gives a,2,354
742,gives the,2,354
742,good performance,2,354
742,if you,2,354
742,is not,2,354
742,of the,2,354
742,should be,2,354
742,the men,2,354
762,candid camera,2,194
762,in the,2,194
762,is that,2,194
762,is the,2,194
762,kennedy is,2,194
762,made for,2,194
762,show was,2,194
762,the show,2,194
762,up in,2,194
771,and the,2,188
771,any of,2,188
771,in any,2,188
771,scooby doo,2,188
771,scooby shows,2,188
771,the previous,2,188
781,gheorghe muresan,2,51
781,this movie,2,51
795,film will,2,111
795,i thought,2,111
795,of the,2,111
795,the film,2,111
795,the whole,2,111
795,the year,2,111
795,this movie,2,111
795,will be,2,111
804,accustomed to,2,268
804,all about,2,268
804,and a,2,268
804,and the,2,268
804,getting what,2,268
804,he wants,2,268
804,it's all,2,268
804,such a,2,268
804,the film,2,268
804,the whole,2,268
804,what he,2,268
804,wish for,2,268
804,you want,2,268
804,you wish,2,268
812,foreign films,2,188
812,it takes,2,188
812,life and,2,188
812,that it,2,188
812,that they,2,188
812,those movies,2,188
817,a little,2,431
817,a very,2,431
817,and billie,2,431
817,are sent,2,431
817,at a,2,431
817,be so,2,431
817,buster and,2,431
817,from the,2,431
817,him in,2,431
817,into a,2,431
817,much more,2,431
817,must have,2,431
817,norman rockwell,2,431
817,of his,2,431
817,stops at,2,431
817,the mid,2,431
817,the movie,2,431
817,the towns,2,431
817,towns folks,2,431
846,a great,2,231
846,but i,2,231
846,crime drama,2,231
846,did he,2,231
846,in a,2,231
846,it's not,2,231
846,mr rickman,2,231
846,to be,2,231
868,burton and,2,357
868,could have,2,357
868,film is,2,357
868,first film,2,357
868,have been,2,357
868,keaton and,2,357
868,of the,2,357
868,the way,2,357
868,to be,2,357
868,turned out,2,357
889,a parent,2,162
889,adult and,2,162
889,and that,2,162
889,as a,2,162
889,in the,2,162
889,is about,2,162
889,is what,2,162
889,movie is,2,162
889,that is,2,162
889,this movie,2,162
889,what this,2,162
889,young adult,2,162
899,and then,2,336
899,any more,2,336
899,cheesey flick,2,336
899,dean cain,2,336
899,is from,2,336
899,it was,2,336
899,scientist is,2,336
899,the movie,2,336
899,to be,2,336
900,doing nothing,2,111
900,have been,2,111
900,that was,2,111
900,to be,2,111
903,to say,2,109
940,4 time,2,425
940,a time,2,425
940,as the,2,425
940,comes in,2,425
940,emmy nominee,2,425
940,in relation,2,425
940,of the,2,425
940,the day,2,425
940,the story,2,425
940,time emmy,2,425
940,time to,2,425
940,to find,2,425
940,to kill,2,425
940,what they,2,425
946,this movie,2,99
947,a terrible,2,315
947,and the,2,315
947,back in,2,315
947,frank drebin,2,315
947,police television,2,315
947,sight gags,2,315
947,television show,2,315
947,the police,2,315
947,the show,2,315
947,the sight,2,315
956,if you,2,137
956,is that,2,137
956,it's a,2,137
956,that it,2,137
964,along with,2,190
964,the dismissal,2,190
964,to me,2,190
970,caradan maldic,2,140
970,serbian terrorists,2,140
970,this movie,2,140
988,a classic,2,95
988,all the,2,95
988,be a,2,95
988,curse of,2,95
988,destined to,2,95
988,island is,2,95
988,of monkey,2,95
988,the curse,2,95
988,to be,2,95
990,don't understand,2,251
990,have been,2,251
990,in this,2,251
990,read the,2,251
990,was a,2,251
1,1 oz,1,304
1,a nickel,1,304
1,a show,1,304
1,a taste,1,304
1,about oz,1,304
1,accustomed to,1,304
1,after watching,1,304
1,agenda em,1,304
1,agreements are,1,304
1,all the,1,304
1,an experimental,1,304
1,and face,1,304
1,and get,1,304
1,and got,1,304
1,and more,1,304
1,and shady,1,304
1,and unflinching,1,304
1,appeal of,1,304
1,are never,1,304
1,are right,1,304
1,around the,1,304
1,aryans muslims,1,304
1,as i,1,304
1,as so,1,304
1,as that,1,304
1,as this,1,304
1,audiences forget,1,304
1,away with,1,304
1,be hooked,1,304
1,be sold,1,304
1,become comfortable,1,304
1,being turned,1,304
1,bitches due,1,304
1,brutality and,1,304
1,but as,1,304
1,but injustice,1,304
1,called oz,1,304
1,can get,1,304
1,cells have,1,304
1,charm forget,1,304
1,christians italians,1,304
1,city an,1,304
1,city is,1,304
1,class inmates,1,304
1,classic use,1,304
1,comfortable with,1,304
1,couldn't say,1,304
1,crooked guards,1,304
1,dare forget,1,304
1,darker side,1,304
1,dealings and,1,304
1,death stares,1,304
1,developed a,1,304
1,dodgy dealings,1,304
1,doesn't mess,1,304
1,drugs sex,1,304
1,em city,1,304
1,emerald city,1,304
1,episode i,1,304
1,episode you'll,1,304
1,ever saw,1,304
1,exactly what,1,304
1,experience watching,1,304
1,experimental section,1,304
1,face inwards,1,304
1,fact that,1,304
1,faint hearted,1,304
1,far away,1,304
1,first episode,1,304
1,first thing,1,304
1,focuses mainly,1,304
1,for a,1,304
1,for it,1,304
1,for mainstream,1,304
1,for oz,1,304
1,for the,1,304
1,forget charm,1,304
1,forget pretty,1,304
1,forget romance,1,304
1,from the,1,304
1,fronts and,1,304
1,gangstas latinos,1,304
1,get away,1,304
1,get in,1,304
1,given to,1,304
1,glass fronts,1,304
1,go trust,1,304
1,goes where,1,304
1,got accustomed,1,304
1,graphic violence,1,304
1,guards who'll,1,304
1,happened with,1,304
1,hardcore in,1,304
1,has mentioned,1,304
1,have glass,1,304
1,hearted or,1,304
1,high levels,1,304
1,high on,1,304
1,home to,1,304
1,hooked they,1,304
1,i couldn't,1,304
1,i developed,1,304
1,i ever,1,304
1,i was,1,304
1,i watched,1,304
1,i would,1,304
1,if you,1,304
1,in right,1,304
1,in the,1,304
1,in touch,1,304
1,injustice crooked,1,304
1,inmates being,1,304
1,inmates who'll,1,304
1,into prison,1,304
1,inwards so,1,304
1,irish and,1,304
1,is called,1,304
1,is due,1,304
1,is exactly,1,304
1,is hardcore,1,304
1,is home,1,304
1,is the,1,304
1,is uncomfortable,1,304
1,it but,1,304
1,it focuses,1,304
1,it goes,1,304
1,it is,1,304
1,it was,1,304
1,it well,1,304
1,italians irish,1,304
1,its brutality,1,304
1,its is,1,304
1,just 1,1,304
1,just violence,1,304
1,kill on,1,304
1,lack of,1,304
1,latinos christians,1,304
1,levels of,1,304
1,main appeal,1,304
1,mainly on,1,304
1,mainstream audiences,1,304
1,mannered middle,1,304
1,many aryans,1,304
1,maximum security,1,304
1,may become,1,304
1,me about,1,304
1,me as,1,304
1,me this,1,304
1,mentioned that,1,304
1,mess around,1,304
1,middle class,1,304
1,more i,1,304
1,more so,1,304
1,muslims gangstas,1,304
1,nasty it,1,304
1,never far,1,304
1,nickel inmates,1,304
1,nickname given,1,304
1,no punches,1,304
1,not a,1,304
1,not high,1,304
1,not just,1,304
1,of graphic,1,304
1,of street,1,304
1,of violence,1,304
1,on emerald,1,304
1,on order,1,304
1,on the,1,304
1,one of,1,304
1,or prison,1,304
1,or timid,1,304
1,or violence,1,304
1,order and,1,304
1,oswald maximum,1,304
1,other reviewers,1,304
1,other shows,1,304
1,out for,1,304
1,oz and,1,304
1,oz as,1,304
1,oz doesn't,1,304
1,oz episode,1,304
1,oz was,1,304
1,oz you,1,304
1,painted for,1,304
1,penitentary it,1,304
1,pictures painted,1,304
1,pretty pictures,1,304
1,prison bitches,1,304
1,prison experience,1,304
1,prison where,1,304
1,privacy is,1,304
1,pulls no,1,304
1,punches with,1,304
1,ready for,1,304
1,regards to,1,304
1,reviewers has,1,304
1,right as,1,304
1,right from,1,304
1,romance oz,1,304
1,saw struck,1,304
1,say i,1,304
1,say the,1,304
1,scenes of,1,304
1,scuffles death,1,304
1,section of,1,304
1,security state,1,304
1,set in,1,304
1,sex or,1,304
1,shady agreements,1,304
1,show for,1,304
1,show is,1,304
1,show pulls,1,304
1,shows wouldn't,1,304
1,skills or,1,304
1,so nasty,1,304
1,so privacy,1,304
1,so scuffles,1,304
1,sold out,1,304
1,stares dodgy,1,304
1,state penitentary,1,304
1,street skills,1,304
1,surreal i,1,304
1,taste for,1,304
1,that after,1,304
1,that is,1,304
1,that it,1,304
1,that struck,1,304
1,thats if,1,304
1,the agenda,1,304
1,the cells,1,304
1,the classic,1,304
1,the fact,1,304
1,the faint,1,304
1,the high,1,304
1,the main,1,304
1,the nickname,1,304
1,the oswald,1,304
1,the other,1,304
1,the prison,1,304
1,the show,1,304
1,their lack,1,304
1,they are,1,304
1,thing that,1,304
1,this show,1,304
1,timid this,1,304
1,to drugs,1,304
1,to many,1,304
1,to their,1,304
1,touch with,1,304
1,trust me,1,304
1,turned into,1,304
1,uncomfortable viewing,1,304
1,unflinching scenes,1,304
1,use of,1,304
1,viewing thats,1,304
1,violence but,1,304
1,violence its,1,304
1,violence not,1,304
1,violence which,1,304
1,was its,1,304
1,was ready,1,304
1,was surreal,1,304
1,watched more,1,304
1,watching just,1,304
1,watching oz,1,304
1,well mannered,1,304
1,what happened,1,304
1,what is,1,304
1,where all,1,304
1,where other,1,304
1,which set,1,304
1,who'll be,1,304
1,who'll kill,1,304
1,with it,1,304
1,with me,1,304
1,with regards,1,304
1,with what,1,304
1,with your,1,304
1,word go,1,304
1,would say,1,304
1,wouldn't dare,1,304
1,you can,1,304
1,you may,1,304
1,you'll be,1,304
1,your darker,1,304
19,20 miles,1,129
19,74 75,1,129
19,75 my,1,129
19,a fitness,1,129
19,a very,1,129
19,actor dan,1,129
19,adams actor,1,129
19,also the,1,129
19,and dies,1,129
19,and the,1,129
19,any other,1,129
19,anyone knows,1,129
19,appearance of,1,129
19,as the,1,129
19,at the,1,129
19,away would,1,129
19,back in,1,129
19,been turned,1,129
19,berkshire england,1,129
19,big shame,1,129
19,brother sister,1,129
19,cinema in,1,129
19,cinema the,1,129
19,club which,1,129
19,dad took,1,129
19,dan haggery,1,129
19,dark in,1,129
19,dies if,1,129
19,dvd etc,1,129
19,england i,1,129
19,etc please,1,129
19,film also,1,129
19,film i,1,129
19,film it,1,129
19,film or,1,129
19,find this,1,129
19,first film,1,129
19,fitness club,1,129
19,from others,1,129
19,gets shot,1,129
19,grizzly adams,1,129
19,had watched,1,129
19,haggery i,1,129
19,has been,1,129
19,have seen,1,129
19,hear from,1,129
19,i had,1,129
19,i recall,1,129
19,i remember,1,129
19,i think,1,129
19,i was,1,129
19,if anyone,1,129
19,in 74,1,129
19,in a,1,129
19,in newbury,1,129
19,in places,1,129
19,in the,1,129
19,is 20,1,129
19,is a,1,129
19,know.the cinema,1,129
19,knows where,1,129
19,let me,1,129
19,like it,1,129
19,lots of,1,129
19,love to,1,129
19,me know.the,1,129
19,me my,1,129
19,miles away,1,129
19,my brother,1,129
19,my dad,1,129
19,nearest cinema,1,129
19,nervous it,1,129
19,newbury berkshire,1,129
19,newbury cinema,1,129
19,now has,1,129
19,now is,1,129
19,of grizzly,1,129
19,of snow,1,129
19,of the,1,129
19,on dvd,1,129
19,one of,1,129
19,or any,1,129
19,other like,1,129
19,others who,1,129
19,picture was,1,129
19,places i,1,129
19,please let,1,129
19,recall the,1,129
19,remember this,1,129
19,seen this,1,129
19,shame as,1,129
19,shot and,1,129
19,sister to,1,129
19,snow in,1,129
19,the appearance,1,129
19,the cinema,1,129
19,the film,1,129
19,the first,1,129
19,the lots,1,129
19,the nearest,1,129
19,the picture,1,129
19,think one,1,129
19,this on,1,129
19,tigers and,1,129
19,tigers gets,1,129
19,to find,1,129
19,to hear,1,129
19,to newbury,1,129
19,took me,1,129
19,turned in,1,129
19,very big,1,129
19,very nervous,1,129
19,was back,1,129
19,was dark,1,129
19,was the,1,129
19,was very,1,129
19,watched at,1,129
19,where to,1,129
19,which is,1,129
19,who have,1,129
19,would love,1,129
28,a bit,1,140
28,a clumsy,1,140
28,a critique,1,140
28,a genuine,1,140
28,a serious,1,140
28,about the,1,140
28,all at,1,140
28,all of,1,140
28,although i,1,140
28,and on,1,140
28,and production,1,140
28,appreciate the,1,140
28,at all,1,140
28,at it,1,140
28,at once,1,140
28,atrocity of,1,140
28,be made,1,140
28,be taken,1,140
28,be too,1,140
28,behind war,1,140
28,bit of,1,140
28,blockbuster sappy,1,140
28,but poking,1,140
28,but there,1,140
28,by its,1,140
28,cause for,1,140
28,clumsy effort,1,140
28,comedy family,1,140
28,corporatization of,1,140
28,critique rather,1,140
28,critique to,1,140
28,depresses me,1,140
28,diminishes the,1,140
28,direction and,1,140
28,effort especially,1,140
28,enough interest,1,140
28,especially when,1,140
28,existence of,1,140
28,failed miserably,1,140
28,family values,1,140
28,film tried,1,140
28,for concern,1,140
28,from turning,1,140
28,fun at,1,140
28,genuine cause,1,140
28,goes on,1,140
28,happening reminds,1,140
28,hollywood blockbuster,1,140
28,i appreciate,1,140
28,in this,1,140
28,inc it,1,140
28,interest to,1,140
28,is a,1,140
28,is happening,1,140
28,it depresses,1,140
28,it failed,1,140
28,it in,1,140
28,it off,1,140
28,it will,1,140
28,its targets,1,140
28,keep me,1,140
28,kings which,1,140
28,lack of,1,140
28,list goes,1,140
28,made about,1,140
28,many things,1,140
28,me a,1,140
28,me from,1,140
28,me to,1,140
28,miserably at,1,140
28,of a,1,140
28,of the,1,140
28,of them,1,140
28,of this,1,140
28,of three,1,140
28,of war,1,140
28,of what,1,140
28,off until,1,140
28,on and,1,140
28,on it,1,140
28,once stinging,1,140
28,particular film,1,140
28,poking fun,1,140
28,political satire,1,140
28,poor writing,1,140
28,production of,1,140
28,promo the,1,140
28,rather than,1,140
28,reflect the,1,140
28,reminds me,1,140
28,romantic comedy,1,140
28,sappy romantic,1,140
28,satire hollywood,1,140
28,see such,1,140
28,serious critique,1,140
28,similarly trivializes,1,140
28,simply the,1,140
28,spirit behind,1,140
28,stinging political,1,140
28,such a,1,140
28,taken by,1,140
28,targets to,1,140
28,than simply,1,140
28,the corporatization,1,140
28,the end,1,140
28,the existence,1,140
28,the lack,1,140
28,the list,1,140
28,the poor,1,140
28,the spirit,1,140
28,the true,1,140
28,them but,1,140
28,there is,1,140
28,there was,1,140
28,things all,1,140
28,this film,1,140
28,this particular,1,140
28,this way,1,140
28,three kings,1,140
28,to keep,1,140
28,to reflect,1,140
28,to see,1,140
28,too many,1,140
28,tried to,1,140
28,trivializes a,1,140
28,true atrocity,1,140
28,turning it,1,140
28,until the,1,140
28,values promo,1,140
